2024-05-10 21:51:02,370, Logistic Regression, Replication: 0, Accuracy: 0.9825, F1: 0.9828, ROC AUC: 0.9975, PRECISION:  0.9728 RECALL:  0.9931 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:02,872, Random Forest, Replication: 0, Accuracy: 0.9685, F1: 0.9655, ROC AUC: 0.9970, PRECISION:  0.9844 RECALL:  0.9474 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:03,026, Logistic Regression, Replication: 1, Accuracy: 0.9755, F1: 0.9749, ROC AUC: 0.9948, PRECISION:  0.9714 RECALL:  0.9784 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:03,626, Random Forest, Replication: 1, Accuracy: 0.9650, F1: 0.9648, ROC AUC: 0.9927, PRECISION:  0.9514 RECALL:  0.9786 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:03,681, Logistic Regression, Replication: 2, Accuracy: 0.9685, F1: 0.9695, ROC AUC: 0.9919, PRECISION:  0.9597 RECALL:  0.9795 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:04,111, Random Forest, Replication: 2, Accuracy: 0.9720, F1: 0.9735, ROC AUC: 0.9981, PRECISION:  0.9866 RECALL:  0.9608 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:04,164, Logistic Regression, Replication: 3, Accuracy: 0.9755, F1: 0.9759, ROC AUC: 0.9960, PRECISION:  0.9660 RECALL:  0.9861 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:04,596, Random Forest, Replication: 3, Accuracy: 0.9650, F1: 0.9638, ROC AUC: 0.9958, PRECISION:  0.9638 RECALL:  0.9638 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:04,635, Logistic Regression, Replication: 4, Accuracy: 0.9790, F1: 0.9805, ROC AUC: 0.9931, PRECISION:  0.9805 RECALL:  0.9805 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:05,072, Random Forest, Replication: 4, Accuracy: 0.9441, F1: 0.9448, ROC AUC: 0.9952, PRECISION:  0.9856 RECALL:  0.9073 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:05,114, Logistic Regression, Replication: 5, Accuracy: 0.9720, F1: 0.9726, ROC AUC: 0.9938, PRECISION:  0.9595 RECALL:  0.9861 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:05,558, Random Forest, Replication: 5, Accuracy: 0.9825, F1: 0.9829, ROC AUC: 0.9948, PRECISION:  0.9863 RECALL:  0.9796 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:05,609, Logistic Regression, Replication: 6, Accuracy: 0.9615, F1: 0.9617, ROC AUC: 0.9930, PRECISION:  0.9650 RECALL:  0.9583 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:06,045, Random Forest, Replication: 6, Accuracy: 0.9510, F1: 0.9504, ROC AUC: 0.9921, PRECISION:  0.9710 RECALL:  0.9306 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:06,098, Logistic Regression, Replication: 7, Accuracy: 0.9755, F1: 0.9745, ROC AUC: 0.9977, PRECISION:  0.9640 RECALL:  0.9853 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:06,522, Random Forest, Replication: 7, Accuracy: 0.9685, F1: 0.9703, ROC AUC: 0.9974, PRECISION:  0.9800 RECALL:  0.9608 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:06,564, Logistic Regression, Replication: 8, Accuracy: 0.9650, F1: 0.9669, ROC AUC: 0.9956, PRECISION:  0.9733 RECALL:  0.9605 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:06,991, Random Forest, Replication: 8, Accuracy: 0.9510, F1: 0.9500, ROC AUC: 0.9945, PRECISION:  0.9568 RECALL:  0.9433 Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-05-10 21:51:07,042, Logistic Regression, Replication: 9, Accuracy: 0.9790, F1: 0.9789, ROC AUC: 0.9969, PRECISION:  0.9720 RECALL:  0.9858 Params: {'C': 10, 'max_iter': 10000}
2024-05-10 21:51:07,462, Random Forest, Replication: 9, Accuracy: 0.9685, F1: 0.9701, ROC AUC: 0.9966, PRECISION:  0.9733 RECALL:  0.9669 Params: {'max_depth': 5, 'min_samples_leaf': 1}
